Campo1,Campo2_texto,Campo2_enlaces,Campo3_texto,Campo3_enlaces,Campo4_texto,Campo4_enlaces
13:14 hs,"
                  Hombre graba a personal de centro de salud en una fiesta luego de que negaran atención a su esposa en Arequipa              ",https://rpp.pe/peru/arequipa/arequipa-hombre-graba-a-personal-de-centro-de-salud-en-una-fiesta-luego-de-que-negaran-atencion-a-su-esposa-noticia-1508470,"
                  Arequipa              ",https://rpp.pe/peru/arequipa,Sandra Loise Reyes Martinez,https://rpp.pe/autor/sreyes
13:13 hs,"
                  Juan Reynoso sobre convocatoria de Oliver Sonne: ""Ya cumplió el tema de papeles""              ",https://rpp.pe/futbol/seleccion-peruana/seleccion-peruana-juan-reynoso-sobre-convocatoria-de-oliver-sonne-ya-cumplio-el-tema-de-papeles-noticia-1508460,"
                  Selección Peruana              ",https://rpp.pe/futbol/seleccion-peruana,José Luis Blanco Pagán,https://rpp.pe/autor/jblanco
13:09 hs,"
                  Sedapal podría ser multado con más de S/ 2 millones              ",https://rpp.pe/economia/economia/sedapal-podria-ser-multado-con-mas-de-2-millones-de-soles-noticia-1508472,"
                  Economía              ",https://rpp.pe/economia/economia,Guadalupe Gamboa,https://rpp.pe/autor/ngamboa
13:00 hs,"
                  Conferencia de Juan Reynoso: Christian Cueva y Edison Flores ausentes en lista de convocados del torneo local              ",https://rpp.pe/futbol/seleccion-peruana/conferencia-de-juan-reynoso-en-vivo-en-directo-fpf-play-seleccion-peruana-convocatoria-noticia-1508308,"
                  Selección Peruana              ",https://rpp.pe/futbol/seleccion-peruana,José Luis Blanco Pagán,https://rpp.pe/autor/jblanco
12:38 hs,"
                  Detector de Mentiras | Alejandro Cavero: ""Yo no veo ninguna película [peruana] que haya ganado absolutamente nada""              ",https://rpp.pe/politica/congreso/detector-de-mentiras-alejandro-cavero-yo-no-veo-ninguna-pelicula-peruana-que-haya-ganado-absolutamente-nada-noticia-1508407,"
                  Congreso              ",https://rpp.pe/politica/congreso,,
12:38 hs,"
                  ¿Qué sucede si construimos sobre un terreno cedido por familiares?              ",https://rpp.pe/lima/actualidad/que-sucede-si-construimos-sobre-un-terreno-cedido-por-familiares-noticia-1508331,"
                  Lima              ",https://rpp.pe/lima/actualidad,Rocío Vicente,https://rpp.pe/autor/vicentroext
12:20 hs,"
                  Brecha de agua en Piura podría cerrarse solo con el 25% del dinero solicitado por Petroperú al Estado              ",https://rpp.pe/economia/economia/petroperu-piura-25-de-los-recursos-solicitados-por-petrolera-podrian-cerrar-brecha-de-agua-noticia-1508464,"
                  Economía              ",https://rpp.pe/economia/economia,Guadalupe Gamboa,https://rpp.pe/autor/ngamboa
12:20 hs,"
                  PJ ordenó detención preliminar para presunto autor del asesinato en fiesta donde participó Rosselli Amuruz              ",https://rpp.pe/politica/judiciales/rosselli-amuruz-dictan-detencion-preliminar-a-presunto-autor-del-asesinato-en-fiesta-donde-particio-congresista-noticia-1508456,"
                  Judiciales              ",https://rpp.pe/politica/judiciales,Jair Zevallos Morón,https://rpp.pe/autor/jzevallos
12:11 hs,"
                  Pedro Yaranga destaca captura en el Vraem: ""Estamos hablando del hijo preferido de la camarada 'Vilma'""              ",https://rpp.pe/peru/actualidad/pedro-yaranga-destaca-captura-en-el-vraem-estamos-hablando-del-hijo-preferido-de-la-camarada-vilma-noticia-1508439,"
                  Actualidad              ",https://rpp.pe/peru/actualidad,José Flores,https://rpp.pe/autor/jflores
12:10 hs,"
                  PNP lanzó aplicación móvil 'Mi Policía Digital' para reportar incidentes: ¿cómo funciona?              ",https://rpp.pe/peru/actualidad/pnp-lanzo-aplicacion-movil-mi-policia-digital-para-reportar-incidentes-como-funciona-noticia-1508438,"
                  Actualidad              ",https://rpp.pe/peru/actualidad,Andrés Gallegos,https://rpp.pe/autor/agallegos
12:07 hs,"
                  El metaverso podría acercarnos a seres queridos que ya no están entre nosotros              ",https://rpp.pe/tecnologia/facebook/el-metaverso-podria-acercarnos-a-seres-queridos-que-ya-no-estan-entre-nosotros-noticia-1508448,"
                  Facebook              ",https://rpp.pe/tecnologia/facebook,Alberto Nishiyama,https://rpp.pe/autor/anishiyama
